UF;MUNICIPIO;AUTOMOVEL;BONDE;CAMINHAO;CAMINHAO TRATOR;CAMINHONETE;CAMIONETA;CHASSI PLATAF;CICLOMOTOR;MICRO-ONIBUS;MOTOCICLETA;MOTONETA;ONIBUS;QUADRICICLO;REBOQUE;SEMI-REBOQUE;SIDE-CAR;OUTROS;TRATOR ESTEI;TRATOR RODAS;TRICICLO;UTILITARIO
PI;VERA MENDES;202;0;22;0;96;8;0;0;5;423;27;4;0;8;1;0;0;0;0;1;0
PI;VILA NOVA DO PIAUI;307;0;24;4;105;9;0;0;11;417;28;6;0;5;5;0;0;0;0;0;1
PI;WALL FERRAZ;206;0;17;1;64;11;0;0;18;303;25;10;0;3;1;0;0;0;0;0;6
PR;ABATIA;2454;0;200;34;477;96;0;1;12;975;78;56;0;48;44;0;0;0;1;1;16
PR;ADRIANOPOLIS;1596;0;145;45;287;96;0;0;8;960;72;36;0;40;62;0;0;0;0;2;12
PR;AGUDOS DO SUL;3692;0;647;108;745;171;0;1;21;1252;88;51;0;177;170;0;2;0;0;1;37
PR;ALMIRANTE TAMANDARE;41052;0;1868;580;4326;1977;0;33;155;11502;1525;269;0;1038;1248;1;4;0;16;8;305
PR;ALTAMIRA DO PARANA;1023;0;68;2;301;43;0;2;8;672;43;14;0;20;3;0;0;0;0;0;6
PR;ALTO PARAISO;968;0;66;8;271;30;0;0;20;434;71;23;0;64;9;0;0;0;0;1;8
PR;ALTO PARANA;4533;0;339;67;844;217;0;7;27;1552;748;116;0;209;81;2;0;0;0;2;45
PR;ALTO PIQUIRI;3095;0;230;76;611;112;0;5;16;1364;306;55;0;115;91;0;0;0;0;1;31
PR;ALTONIA;6936;0;571;72;1429;238;0;10;37;3465;1331;71;0;385;100;0;0;0;1;1;69
PR;ALVORADA DO SUL;3170;0;395;122;724;126;0;41;11;733;459;72;0;163;223;0;0;0;1;2;49
PR;AMAPORA;1441;0;88;13;232;42;0;0;8;576;220;63;0;33;21;0;0;0;0;0;2
PR;AMPERE;7632;0;597;191;1481;335;0;2;30;3089;872;63;0;155;272;3;1;0;2;3;124
PR;ANAHY;903;0;130;15;296;26;0;0;6;613;46;11;0;19;17;0;0;0;0;0;7
PR;ANDIRA;7493;0;586;291;1434;338;0;14;28;2684;1089;106;0;231;400;3;0;0;3;14;106
PR;ANGULO;1015;0;111;12;266;40;0;2;6;356;98;11;0;60;17;0;0;0;0;0;6
PR;ANTONINA;3415;0;138;42;337;188;0;4;23;1242;249;48;0;141;47;0;1;0;2;6;24
