UF;MUNICIPIO;TIPO DE VEICULO;QUANTIDADE
MG;GUARACIABA;QUADRICICLO;0
MG;GUARACIAMA;QUADRICICLO;0
MG;GUARANESIA;QUADRICICLO;0
MG;GUARANI;QUADRICICLO;0
MG;GUARARA;QUADRICICLO;0
MG;GUARDA-MOR;QUADRICICLO;0
MG;GUAXUPE;QUADRICICLO;0
MG;GUIDOVAL;QUADRICICLO;0
MG;GUIMARANIA;QUADRICICLO;0
MG;GUIRICEMA;QUADRICICLO;0
MG;GURINHATA;QUADRICICLO;0
MG;HELIODORA;QUADRICICLO;0
MG;IAPU;QUADRICICLO;0
MG;IBERTIOGA;QUADRICICLO;0
MG;IBIA;QUADRICICLO;0
MG;IBIAI;QUADRICICLO;0
MG;IBIRACATU;QUADRICICLO;0
MG;IBIRACI;QUADRICICLO;0
MG;IBIRITE;QUADRICICLO;0
MG;IBITIURA DE MINAS;QUADRICICLO;0
MG;IBITURUNA;QUADRICICLO;0
MG;ICARAI DE MINAS;QUADRICICLO;0
MG;IGARAPE;QUADRICICLO;0
MG;IGARATINGA;QUADRICICLO;0
MG;IGUATAMA;QUADRICICLO;0
MG;IJACI;QUADRICICLO;0
MG;ILICINEA;QUADRICICLO;0
MG;IMBE DE MINAS;QUADRICICLO;0
MG;INCONFIDENTES;QUADRICICLO;0
MG;INDAIABIRA;QUADRICICLO;0
MG;INDIANOPOLIS;QUADRICICLO;0
MG;INGAI;QUADRICICLO;0
MG;INHAPIM;QUADRICICLO;0
MG;INHAUMA;QUADRICICLO;0
MG;INIMUTABA;QUADRICICLO;0
MG;IPABA;QUADRICICLO;0
MG;IPANEMA;QUADRICICLO;0
MG;IPATINGA;QUADRICICLO;0
MG;IPIACU;QUADRICICLO;0
MG;IPUIUNA;QUADRICICLO;0
MG;IRAI DE MINAS;QUADRICICLO;0
MG;ITABIRINHA;QUADRICICLO;0
MG;ITABIRITO;QUADRICICLO;0
MG;ITACAMBIRA;QUADRICICLO;0
MG;ITACARAMBI;QUADRICICLO;0
MG;ITAGUARA;QUADRICICLO;0
MG;ITAIPE;QUADRICICLO;0
MG;ITAJUBA;QUADRICICLO;0
MG;ITAMARANDIBA;QUADRICICLO;0
MG;ITAMARATI DE MINAS;QUADRICICLO;0
MG;ITAMBACURI;QUADRICICLO;0
MG;ITAMBE DO MATO DENTRO;QUADRICICLO;0
MG;ITAMOGI;QUADRICICLO;0
MG;ITAMONTE;QUADRICICLO;0
MG;ITANHANDU;QUADRICICLO;0
MG;ITANHOMI;QUADRICICLO;0
MG;ITAOBIM;QUADRICICLO;0
MG;ITAPAGIPE;QUADRICICLO;0
MG;ITAPECERICA;QUADRICICLO;0
MG;ITAPEVA;QUADRICICLO;0
MG;ITATIAIUCU;QUADRICICLO;0
MG;ITAU DE MINAS;QUADRICICLO;0
MG;ITAVERAVA;QUADRICICLO;0
MG;ITINGA;QUADRICICLO;0
MG;ITUETA;QUADRICICLO;0
MG;ITUIUTABA;QUADRICICLO;0
MG;ITUMIRIM;QUADRICICLO;0
MG;ITURAMA;QUADRICICLO;0
MG;ITUTINGA;QUADRICICLO;0
MG;JABOTICATUBAS;QUADRICICLO;0
MG;JACINTO;QUADRICICLO;0
MG;JACUI;QUADRICICLO;0
MG;JACUTINGA;QUADRICICLO;0
MG;JAGUARACU;QUADRICICLO;0
MG;JAIBA;QUADRICICLO;0
MG;JAMPRUCA;QUADRICICLO;0
MG;JANAUBA;QUADRICICLO;0
MG;JANUARIA;QUADRICICLO;0
MG;JAPARAIBA;QUADRICICLO;0
MG;JAPONVAR;QUADRICICLO;0
MG;JECEABA;QUADRICICLO;0
MG;JENIPAPO DE MINAS;QUADRICICLO;0
MG;JEQUERI;QUADRICICLO;0
MG;JEQUITAI;QUADRICICLO;0
MG;JEQUITIBA;QUADRICICLO;0
MG;JEQUITINHONHA;QUADRICICLO;0
MG;JESUANIA;QUADRICICLO;0
MG;JOAIMA;QUADRICICLO;0
MG;JOANESIA;QUADRICICLO;0
MG;JOAO MONLEVADE;QUADRICICLO;0
MG;JOAO PINHEIRO;QUADRICICLO;0
MG;JOAQUIM FELICIO;QUADRICICLO;0
MG;JORDANIA;QUADRICICLO;0
MG;JOSE GONCALVES DE MINAS;QUADRICICLO;0
MG;JOSE RAYDAN;QUADRICICLO;0
MG;JOSENOPOLIS;QUADRICICLO;0
MG;JUATUBA;QUADRICICLO;0
MG;JUIZ DE FORA;QUADRICICLO;0
MG;JURAMENTO;QUADRICICLO;0
MG;JURUAIA;QUADRICICLO;0
MG;JUVENILIA;QUADRICICLO;0
MG;LADAINHA;QUADRICICLO;0
MG;LAGAMAR;QUADRICICLO;0
MG;LAGOA DA PRATA;QUADRICICLO;0
MG;LAGOA DOS PATOS;QUADRICICLO;0
MG;LAGOA DOURADA;QUADRICICLO;0
MG;LAGOA FORMOSA;QUADRICICLO;0
